CUSEC;Barrio;Distrito;Poblacion;Shape__Are;xcoord;ycoord
4109102058;POLIGONO NORTE;Macarena;1140;45424.63599;-5.98038;37.41305
4109102011;EL ROCIO;Macarena;2025;61515.78784;-5.9819;37.40813
4109102004;CRUZ ROJA CAPUCHINOS;Macarena;709;68993.89063;-5.98157;37.40192
4109102029;HERMANDADES LA CARRASCA;Macarena;742;27208.67676;-5.97942;37.40944
4109102018;LOS PRINCIPES LA FONTANILLA;Macarena;1040;39400.78247;-5.97624;37.41127
4109101011;SAN LORENZO;Casco Antiguo;1067;89128.56323;-5.99604;37.39757
4109101004;ENCARNACION REGINA;Casco Antiguo;945;86509.7876;-5.98962;37.39363
4109101029;SAN JULIAN;Casco Antiguo;1836;140741.0391;-5.98515;37.39653
4109101018;SAN GIL;Casco Antiguo;1390;96888.20166;-5.99443;37.40193
4109102048;CRUZ ROJA CAPUCHINOS;Macarena;936;99484.46704;-5.98393;37.401
4109102021;PIO XII;Macarena;848;63695.01782;-5.97675;37.40502
4109102055;HERMANDADES LA CARRASCA;Macarena;940;27134.59155;-5.98077;37.41011
4109102050;SANTA JUSTA Y RUFINA PARQUE MIRAFLORES;Macarena;1220;46169.57593;-5.97292;37.40985
4109102010;EL CARMEN;Macarena;956;68739.85376;-5.98438;37.40628
4109101038;MUSEO;Casco Antiguo;1400;113627.8494;-5.99946;37.39207
4109102019;CAMPOS DE SORIA;Macarena;992;71836.65674;-5.97227;37.40518
4109102012;EL CEREZO;Macarena;1518;48981.22607;-5.98416;37.40799
4109101003;FERIA;Casco Antiguo;732;45657.46362;-5.99168;37.396
4109101001;SANTA CATALINA;Casco Antiguo;1425;92466.12061;-5.98651;37.39409
4109101028;SAN JULIAN;Casco Antiguo;1040;64209.27734;-5.98708;37.39919
4109101026;MUSEO;Casco Antiguo;1266;182154.9373;-6.00385;37.38879
4109101051;SAN BARTOLOME;Casco Antiguo;1470;132378.2209;-5.98634;37.38833
4109101048;SANTA CATALINA;Casco Antiguo;1353;98168.13135;-5.98536;37.39206
4109102015;EL CEREZO;Macarena;1128;51668.4873;-5.98386;37.40988
